time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
1,0,1,1,1,0,0,1,1,0,1
2,0,1,1,0,0,1,1,0,1,1
3,1,0,0,0,0,0,1,1,0,1
4,0,0,1,0,0,1,1,1,1,1
5,0,1,0,0,1,0,0,1,1,1
6,0,0,0,1,0,1,1,0,0,0
7,0,1,0,0,0,1,1,0,0,0
8,1,1,0,1,1,0,1,1,1,1
9,0,0,1,0,1,1,0,0,0,1
10,1,0,1,1,0,0,0,1,1,1
11,1,1,0,1,1,1,0,1,1,0
12,0,1,1,1,1,0,1,1,0,0
13,0,0,1,1,0,0,1,1,1,1
14,1,1,0,0,0,1,0,0,0,0
15,1,1,1,0,0,0,1,0,0,1
16,0,1,1,1,0,1,0,1,1,0
17,1,0,0,1,1,0,0,0,0,1
18,0,1,0,1,0,0,1,1,1,0
19,1,1,0,1,1,0,0,0,0,0
20,1,1,1,1,1,0,0,1,1,0
21,1,1,1,1,0,1,1,0,1,1
22,1,1,0,1,0,0,1,1,1,1
23,0,0,1,0,1,0,0,1,1,1
24,1,0,0,1,1,1,0,1,1,1
25,1,1,1,0,1,1,0,1,1,1
26,1,1,0,0,0,1,0,1,1,0
27,1,0,1,1,1,0,0,1,1,0
28,0,1,0,0,0,1,0,1,1,1
29,1,0,1,1,0,1,1,0,1,1
30,0,1,0,1,0,0,1,0,1,1
